offerPrice,egc,html,highTech,age,nUnderwriters,sharesOfferedPerc,totalProceeds,investmentReceived,commonEquity,nasdaq2weeksBefore,blueSky,managementFee,commonEquity.1,bookValue,totalAssets,totalRevenue,netIncome,roa,leverage,vc,pe,prominence,nVCs,nExecutives,priorFinancing,reputationLeadMax,reputationLeadAvg,reputationSum,reputationAvg,nPatents,year>good_return,year>super_return,interaction>super_return_w_reputationAvg,log_age,city>super_return,city>good_return,city>low_return,"industryFF12>Business Equipment -- Computers, Software, and Electronic Equipment",industryFF12>Chemicals and Allied Products,"industryFF12>Consumer Durables -- Cars, TV's, Furniture, Household Appliances","industryFF12>Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",industryFF12>Finance,"industryFF12>Healthcare, Medical Equipment, and Drugs","industryFF12>Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing","industryFF12>Oil, Gas, and Coal Extraction and Products",industryFF12>Other,industryFF12>Telephone and Television Transmission,industryFF12>Utilities,"industryFF12>Wholesale, Retail, and Some Services (Laundries, Repair Shops)",exchange>AMEX,exchange>NASDQ,exchange>NYSE,"industryFF5>Business Equipment, Telephone and Television Transmission","industryFF5>Consumer Durables, NonDurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops)","industryFF5>Healthcare, Medical Equipment, and Drugs","industryFF5>Manufacturing, Energy, and Utilities",industryFF5>Other,rf>IT,rf>indebtedness,rf>reimbursement,rf>default,rf>trial,rf>patRatio,log_totalAssets,log_totalRevenue,log_priorFinancing,log_reputationSum
14.0,False,False,True,5.0,14,30.5,68114956,64190.0,-0.7108376177731637,4963.03,8000.0,924417.0,100.0,219.134116,240.97400000000002,23.34,-48.81100000000001,-0.2025571223451493,0.0,True,False,True,5.0,5.0,64190.0,9.001,9.001,106.014,7.5724285714285715,1,0,1,7.5724285714285715,1.791759469228055,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.2998875140607424,7.240222492593319,6.126838534497294,11.069618292935061,4.672959667024449
18.0,False,True,False,8.0,4,17.09,45000000,303578.7592391822,0.063,2145.32,12705.26168224299,2553360.698512182,40.99,231.4189794,2190.6479999999997,142.89,15.918,0.007266343109436111,0.1554453294185099,False,False,False,2.995987898877135,10.885698860416921,169012.07872315962,7.001,7.001,19.003,4.75075,0,0,0,0.0,2.19722457733622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.030813581037796287,0.0,0.0,8.114946353404326,6.3587707135143505,12.03773137980528,2.995882262305116
21.0,False,True,False,9.0,8,27.21,247058826,615284.0,0.094,3143.18,12705.26168224299,3750588.0,64.26,452.48099249999996,1104.1860000000001,3273.4959999999996,116.936,0.1059024475948799,0.2731541606214895,False,True,False,3.0,15.0,615284.0,9.001,8.751,29.004,3.6255,77,1,0,0.0,2.302585092994046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.11517908525389822,0.0,0.0881266222199603,0.0,0.0,7.72206474840003,8.218286211468135,13.329840854079402,3.40133070610739
12.0,False,False,True,6.0,11,15.86,26640000,18682.0,0.434,2561.61,2000.0,377400.0,97.32,48.11026,60.053999999999995,33.042,7.372000000000001,0.1227561860991774,0.01713457887900889,True,False,False,6.0,14.0,18682.0,9.001,9.001,81.50800000000002,7.409818181818182,3,0,1,7.409818181818182,1.9459101490553128,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.101250989200196,6.147801327155783,9.835369298459838,4.4128952583363485
12.5,True,True,True,16.25621727748691,4,17.12,50000000,114399.8,-0.818,4834.93,12705.26168224299,1699715.1723687097,90.09369582583977,80.6013213,91.323,0.317,-47.743,-0.5227927247243301,0.002419981822760969,True,False,True,14.0,17.0,114399.8,7.501,7.251,14.502,3.6255,0,0,0,0.0,2.308524725767227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.023913133918542245,0.0,0.41988283330374576,0.029010989010989006,7.126692541018372,6.075260884223756,11.647463350910376,2.74096904785932
15.0,True,True,False,9.0,4,100.0,116250000,321911.3032540765,0.708,3443.67,5000.0,2825318.635413994,35.05,91.253925,267.32,92.726,-1.9409999999999998,-0.007260960646416279,0.1157788418374981,False,False,False,3.0484577967884565,10.959810975084974,184834.364658971,8.501,8.501,8.501,2.12525,0,1,0,0.0,2.302585092994046,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.08416857045642348,0.0,0.0,7.258940307545028,6.267906111130613,12.127220787083578,2.2513970562246124
12.0,False,True,False,41.0,7,92.02,150000000,330595.1398927106,-0.695300306439327,2697.97,12705.26168224299,1625000.0,175.49,161.10352319999998,178.833,329.99199999999996,-27.166999999999998,-0.1519126783088132,0.3163996776260053,False,False,False,3.0733119589569773,10.994916713611946,192329.13168119744,0.0,0.0,19.003,2.714714285714286,0,0,0,0.0,3.737669618283368,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.047554044327517316,0.0,0.0,0.0,7.194634414884983,6.639402470422898,12.166968610311985,2.995882262305116
11.0,False,False,False,3.0,8,19.93,60500000,228879.0246968114,-0.013999999999999999,3336.16,10000.0,880000.0,100.0,251.0213449897094,1733.8435153084463,366.1744066253568,11.495317727867917,0.020244868113389186,0.2890465249470234,False,True,False,1.0,6.0,112179.90575844853,8.001,8.001,59.507,7.438375,0,0,1,7.438375,1.3862943611198906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,7.968067978171235,6.685636663886233,11.62786807718242,4.102759060823119
13.0,False,True,True,9.0,5,18.73,139100000,99999.5,0.551,2416.15,10000.0,2039805.7292522388,97.91,111.5873675,218.58599999999998,176.51,-25.366999999999997,-0.1160504332390912,0.0,True,False,True,12.0,14.0,99999.5,9.001,9.001,43.00599999999999,8.601199999999999,18,0,0,0.0,2.302585092994046,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.224036601917312,6.415352184684855,11.512930464957728,3.784325988257949
10.0,False,True,False,36.0,7,29.75,123000000,6378.0,-0.707043247153003,2154.47,12705.26168224299,2851083.0715415343,52.93,271.2691142,645.86,264.945,22.989,0.0355944012634317,0.372381011364692,False,True,False,3.0,9.0,6378.0,9.001,4.5005,30.004,4.286285714285714,0,0,0,0.0,3.610917912644224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.01853615940303247,0.0,0.0,0.007476031794799075,0.027893262568185164,7.49514752219792,6.550495825237375,8.760766624241956,3.4341162284192652
